name,industry,symbol
3M India Ltd.,SERVICES,3MINDIA
ABB India Ltd.,INDUSTRIAL MANUFACTURING,ABB
ABG Shipyard Ltd.,INDUSTRIAL MANUFACTURING,ABGSHIP
ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC
AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,AIAENG
Aarti Industries Ltd.,CHEMICALS,AARTIIND
Aban Offshore Ltd.,ENERGY,ABAN
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS
Adani Power Ltd.,ENERGY,ADANIPOWER
Adlabs Entertainment Ltd.,SERVICES,ADLABS
Advanta Ltd.,CONSUMER GOODS,ADVANTA
Agro Tech Foods Ltd.,CONSUMER GOODS,ATFL
Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM
Akzo Nobel India Ltd.,CONSUMER GOODS,AKZOINDIA
Alembic Pharmaceuticals Ltd.,PHARMA,APLLTD
Allahabad Bank,FINANCIAL SERVICES,ALBK
Allcargo Logistics Ltd.,SERVICES,ALLCARGO
Alok Industries Ltd.,TEXTILES,ALOKTEXT
Alstom India Ltd.,INDUSTRIAL MANUFACTURING,AIL
Alstom T&D India Ltd.,INDUSTRIAL MANUFACTURING,ALSTOMT&D
Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM
Amtek Auto Ltd.,AUTOMOBILE,AMTEKAUTO
Anant Raj Ltd.,CONSTRUCTION,ANANTRAJ
Andhra Bank,FINANCIAL SERVICES,ANDHRABANK
Apar Industries Ltd.,INDUSTRIAL MANUFACTURING,APARINDS
Apollo Hospitals Enterprises Ltd.,HEALTHCARE SERVICES,APOLLOHOSP
Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE
Asahi India Glass Ltd.,AUTOMOBILE,ASAHIINDIA
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY
Ashoka Buildcon Ltd.,CONSTRUCTION,ASHOKA
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT
AstraZenca Pharma India Ltd.,PHARMA,ASTRAZEN
Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING,ASTRAL
Atul Ltd.,CHEMICALS,ATUL
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA
Automotive Axles Ltd.,AUTOMOBILE,AUTOAXLES
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK
BASF India Ltd.,CHEMICALS,BASF
BEML Ltd.,INDUSTRIAL MANUFACTURING,BEML
BF Utilities Ltd.,CONSTRUCTION,BFUTILITIE
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO
Bajaj Corp Ltd.,CONSUMER GOODS,BAJAJCORP
Bajaj Electricals Ltd,CONSUMER GOODS,BAJAJELEC
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV
Bajaj Hindusthan Sugar Ltd.,CONSUMER GOODS,BAJAJHIND
Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG
Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND
Ballarpur Industries Ltd.,PAPER,BALLARPUR
Balmer Lawrie & Co. Ltd.,SERVICES,BALMLAWRIE
Balrampur Chini Mills Ltd.,CONSUMER GOODS,BALRAMCHIN
Bank of Baroda,FINANCIAL SERVICES,BANKBARODA
Bank of India,FINANCIAL SERVICES,BANKINDIA
Bata India Ltd.,CONSUMER GOODS,BATAINDIA
Berger Paints India Ltd.,CONSUMER GOODS,BERGEPAINT
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL
Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG
Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL
Bharat Petroleum Corporation Ltd.,ENERGY,BPCL
Bharti Airtel Ltd.,TELECOM,BHARTIARTL
Bharti Infratel Ltd.,TELECOM,INFRATEL
Bhushan Steel Ltd.,METALS,BHUSANSTL
Biocon Ltd.,PHARMA,BIOCON
Birla Corporation Ltd.,CEMENT & CEMENT PRODUCTS,BIRLACORPN
Blue Dart Express Ltd.,SERVICES,BLUEDART
Blue Star Ltd.,CONSUMER GOODS,BLUESTARCO
Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS,BBTC
Bombay Dyeing & Manufacturing Co. Ltd.,TEXTILES,BOMDYEING
Bosch Ltd.,AUTOMOBILE,BOSCHLTD
Brigade Enterprises Ltd.,CONSTRUCTION,BRIGADE
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA
CARE Ltd.,FINANCIAL SERVICES,CARERATING
CESC Ltd.,ENERGY,CESC
CRISIL Ltd.,FINANCIAL SERVICES,CRISIL
Cadila Healthcare Ltd.,PHARMA,CADILAHC
Cairn India Ltd.,ENERGY,CAIRN
Camlin Fine Sciences Ltd.,CHEMICALS,CAMLINFINE
Can Fin Homes Ltd.,FINANCIAL SERVICES,CANFINHOME
Canara Bank,FINANCIAL SERVICES,CANBK
Capital First Ltd.,FINANCIAL SERVICES,CAPF
Carborundum Universal Ltd.,INDUSTRIAL MANUFACTURING,CARBORUNIV
Castex Technologies Ltd.,AUTOMOBILE,CASTEXTECH
Castrol India Ltd.,ENERGY,CASTROLIND
Ceat Ltd.,AUTOMOBILE,CEATLTD
Central Bank of India,FINANCIAL SERVICES,CENTRALBK
Century Enka Ltd.,TEXTILES,CENTENKA
Century Plyboards (India) Ltd.,CONSUMER GOODS,CENTURYPLY
Century Textile & Industries Ltd.,CEMENT & CEMENT PRODUCTS,CENTURYTEX
Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,CHAMBLFERT
Chennai Petroleum Corporation Ltd.,ENERGY,CHENNPETRO
Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,CHOLAFIN
Cipla Ltd.,PHARMA,CIPLA
City Union Bank Ltd.,FINANCIAL SERVICES,CUB
Clariant Chemicals (India) Ltd.,CHEMICALS,CLNINDIA
Coal India Ltd.,METALS,COALINDIA
Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL
Container Corporation of India Ltd.,SERVICES,CONCOR
Coromandel International Ltd.,FERTILISERS & PESTICIDES,COROMANDEL
Corporation Bank,FINANCIAL SERVICES,CORPBANK
Cox & Kings Ltd.,SERVICES,COX&KINGS
Cummins India Ltd.,INDUSTRIAL MANUFACTURING,CUMMINSIND
Cyient Ltd.,IT,CYIENT
D B Realty Ltd.,CONSTRUCTION,DBREALTY
D.B.Corp Ltd.,MEDIA & ENTERTAINMENT,DBCORP
DCB Bank Ltd.,FINANCIAL SERVICES,DCBBANK
DCM Shriram Ltd.,CONSUMER GOODS,DCMSHRIRAM
DLF Ltd.,CONSTRUCTION,DLF
Dabur India Ltd.,CONSUMER GOODS,DABUR
Deepak Fertilisers & Petrochemicals Corp. Ltd.,CHEMICALS,DEEPAKFERT
Delta Corp Ltd.,CONSTRUCTION,DELTACORP
Den Networks Ltd.,MEDIA & ENTERTAINMENT,DEN
Dena Bank,FINANCIAL SERVICES,DENABANK
Dewan Housing Finance Corporation Ltd.,FINANCIAL SERVICES,DHFL
Dhanlaxmi Bank Ltd.,FINANCIAL SERVICES,DHANBANK
Dishman Pharmaceuticals & Chemicals Ltd.,PHARMA,DISHMAN
Divi's Laboratories Ltd.,PHARMA,DIVISLAB
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY
Dredging Corporation of India Ltd.,SERVICES,DREDGECORP
Dynamatic Technologies Ltd.,AUTOMOBILE,DYNAMATECH
E.I.D. Parry (India) Ltd.,FERTILISERS & PESTICIDES,EIDPARRY
EIH Ltd.,SERVICES,EIHOTEL
ESAB India Ltd.,INDUSTRIAL MANUFACTURING,ESABINDIA
Edelweiss Financial Services Ltd.,FINANCIAL SERVICES,EDELWEISS
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT
Electrosteel Castings Ltd.,INDUSTRIAL MANUFACTURING,ELECTCAST
Elgi Equipments Ltd.,INDUSTRIAL MANUFACTURING,ELGIEQUIP
Emami Ltd.,CONSUMER GOODS,EMAMILTD
Engineers India Ltd.,CONSTRUCTION,ENGINERSIN
Entertainment Network India Ltd.,MEDIA & ENTERTAINMENT,ENIL
Eros Intl Media Ltd.,MEDIA & ENTERTAINMENT,EROSMEDIA
Escorts Ltd.,AUTOMOBILE,ESCORTS
Ess Dee Aluminium Ltd.,INDUSTRIAL MANUFACTURING,ESSDEE
Essel Propack Ltd.,INDUSTRIAL MANUFACTURING,ESSELPACK
Eveready Industries India Ltd.,CONSUMER GOODS,EVEREADY
Exide Industries Ltd.,AUTOMOBILE,EXIDEIND
FDC Ltd.,PHARMA,FDC
Fag Bearings India Ltd.,INDUSTRIAL MANUFACTURING,FAGBEARING
Federal Bank Ltd.,FINANCIAL SERVICES,FEDERALBNK
Federal-Mogul Goetze (India) Ltd.,AUTOMOBILE,FMGOETZE
Financial Technologies (India) Ltd.,IT,FINANTECH
Finolex Cables Ltd.,INDUSTRIAL MANUFACTURING,FINCABLES
Finolex Industries Ltd.,INDUSTRIAL MANUFACTURING,FINPIPE
Firstsource Solutions Ltd.,IT,FSL
Flexituff International Ltd.,INDUSTRIAL MANUFACTURING,FLEXITUFF
Fortis Healthcare Ltd.,HEALTHCARE SERVICES,FORTIS
Future Consumer Enterprise Ltd.,CONSUMER GOODS,FCEL
Future Lifestyle Fashions Ltd.,CONSUMER GOODS,FLFL
Future Retail Ltd.,CONSUMER GOODS,FRL
GAIL (India) Ltd.,ENERGY,GAIL
GHCL Ltd.,CHEMICALS,GHCL
GMR Infrastructure Ltd.,CONSTRUCTION,GMRINFRA
GTL Infrastructure Ltd.,TELECOM,GTLINFRA
GVK Power & Infrastructures Ltd.,CONSTRUCTION,GVKPIL
Gabriel India Ltd.,AUTOMOBILE,GABRIEL
Gammon Infrastructure Projects Ltd.,CONSTRUCTION,GAMMNINFRA
Gateway Distriparks Ltd.,SERVICES,GDL
Gati Ltd.,SERVICES,GATI
Geojit BNP Paribas Financial Services Ltd.,FINANCIAL SERVICES,GEOJITBNPP
Geometric Ltd.,IT,GEOMETRIC
Gillette India Ltd.,CONSUMER GOODS,GILLETTE
Gitanjali Gems Ltd.,CONSUMER GOODS,GITANJALI
GlaxoSmithkline Consumer Healthcare Ltd.,CONSUMER GOODS,GSKCONS
Glaxosmithkline Pharmaceuticals Ltd.,PHARMA,GLAXO
Glenmark Pharmaceuticals Ltd.,PHARMA,GLENMARK
Godfrey Phillips India Ltd.,CONSUMER GOODS,GODFRYPHLP
Godrej Consumer Products Ltd.,CONSUMER GOODS,GODREJCP
Godrej Industries Ltd.,CONSUMER GOODS,GODREJIND
Godrej Properties Ltd.,CONSTRUCTION,GODREJPROP
Graphite India Ltd.,INDUSTRIAL MANUFACTURING,GRAPHITE
Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM
Great Eastern Shipping Co. Ltd.,SERVICES,GESHIP
Greaves Cotton Ltd.,INDUSTRIAL MANUFACTURING,GREAVESCOT
Gruh Finance Ltd.,FINANCIAL SERVICES,GRUH
Gujarat Alkalies & Chemicals Ltd.,CHEMICALS,GUJALKALI
Gujarat Fluorochemicals Ltd.,CHEMICALS,GUJFLUORO
Gujarat Industries Power Co. Ltd.,ENERGY,GIPCL
Gujarat Mineral Development Corporation Ltd.,METALS,GMDCLTD
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,CHEMICALS,GNFC
Gujarat Pipavav Port Ltd.,SERVICES,GPPL
Gujarat State Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,GSFC
Gujarat State Petronet Ltd.,ENERGY,GSPL
Gulf Oil Lubricants India Ltd.,ENERGY,GULFOILLUB
H.E.G. Ltd.,INDUSTRIAL MANUFACTURING,HEG
HCL Infosystems Ltd.,IT,HCL-INSYS
HCL Technologies Ltd.,IT,HCLTECH
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK
HSIL Ltd.,CONSUMER GOODS,HSIL
HT Media Ltd.,MEDIA & ENTERTAINMENT,HTMEDIA
Hathway Cable & Datacom Ltd.,MEDIA & ENTERTAINMENT,HATHWAY
Havells India Ltd.,CONSUMER GOODS,HAVELLS
Heritage Foods Ltd.,CONSUMER GOODS,HERITGFOOD
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO
Hexaware Technologies Ltd.,IT,HEXAWARE
Himachal Fut Com Ltd.,TELECOM,HFCL
Himatsingka Seide Ltd.,TEXTILES,HIMATSEIDE
Hindalco Industries Ltd.,METALS,HINDALCO
Hindustan Construction Co. Ltd.,CONSTRUCTION,HCC
Hindustan Copper Ltd.,METALS,HINDCOPPER
Hindustan Petroleum Corporation Ltd.,ENERGY,HINDPETRO
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR
Hindustan Zinc Ltd.,METALS,HINDZINC
Honeywell Automation India Ltd.,INDUSTRIAL MANUFACTURING,HONAUT
Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC
Housing Development and Infrastructure Ltd.,CONSTRUCTION,HDIL
I T C Ltd.,CONSUMER GOODS,ITC
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK
ICRA Ltd.,FINANCIAL SERVICES,ICRA
IDBI Bank Ltd.,FINANCIAL SERVICES,IDBI
IFCI Ltd.,FINANCIAL SERVICES,IFCI
IIFL Holdings Ltd.,FINANCIAL SERVICES,IIFL
IL&FS Engineering and Construction Company Ltd.,CONSTRUCTION,IL&FSENGG
IL&FS Transportation Networks Ltd.,SERVICES,IL&FSTRANS
IRB Infrastructure Developers Ltd.,CONSTRUCTION,IRB
ITD Cementation India Ltd.,CONSTRUCTION,ITDCEM
IVRCL Ltd.,CONSTRUCTION,IVRCLINFRA
Idea Cellular Ltd.,TELECOM,IDEA
India Cements Ltd.,CEMENT & CEMENT PRODUCTS,INDIACEM
Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES,IBULHSGFIN
Indiabulls Real Estate Ltd.,CONSTRUCTION,IBREALEST
Indiabulls Ventures Ltd.,FINANCIAL SERVICES,IBVENTURES
Indian Bank,FINANCIAL SERVICES,INDIANB
Indian Hotels Co. Ltd.,SERVICES,INDHOTEL
Indian Oil Corporation Ltd.,ENERGY,IOC
Indian Overseas Bank ,FINANCIAL SERVICES,IOB
Indraprastha Gas Ltd.,ENERGY,IGL
IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK
Info Edge (India) Ltd.,IT,NAUKRI
Infosys Ltd.,IT,INFY
Ingersoll Rand (India) Ltd.,INDUSTRIAL MANUFACTURING,INGERRAND
Inox Leisure Ltd.,MEDIA & ENTERTAINMENT,INOXLEISUR
Inox Wind Ltd.,INDUSTRIAL MANUFACTURING,INOXWIND
Ipca Laboratories Ltd.,PHARMA,IPCALAB
J.B. Chemicals & Pharmaceuticals Ltd.,PHARMA,JBCHEPHARM
J.K. Cement Ltd.,CEMENT & CEMENT PRODUCTS,JKCEMENT
J.Kumar Infraprojects Ltd.,CONSTRUCTION,JKIL
JBF Industries Ltd.,TEXTILES,JBFIND
JK Lakshmi Cement Ltd.,CEMENT & CEMENT PRODUCTS,JKLAKSHMI
JK Tyre & Industries Ltd.,AUTOMOBILE,JKTYRE
JM Financial Ltd.,FINANCIAL SERVICES,JMFINANCIL
JSW Energy Ltd.,ENERGY,JSWENERGY
JSW Holdings Ltd.,FINANCIAL SERVICES,JSWHL
JSW Steel Ltd.,METALS,JSWSTEEL
Jagran Prakashan Ltd.,MEDIA & ENTERTAINMENT,JAGRAN
